Year;Code;Number;Line;CreationDate;ModificationDate;Name;Value;BeneficiaryCode;BeneficiaryName;IrisCode;Sector;ActionCode;ActionName
2009;AE   ;245066;1;20090203;20090203;ROMAINVILLE 93 FRAIS DE GESTIO;90418;16806;SABIMMO SYNDIC ADMINISTRATION BIENS   ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245214;2;20100910;20100910;PARIS 10 16 RUE STE MARTHE TAG;1040000;16750;TAGERIM MENILMONTANT                  ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245318;2;20130927;20130927;ST OUEN 93 11 BIS RUE RASPAIL;0;43818;IMMODONIA                             ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245099;1;20090203;20090203;VITRY/SEINE 94 31 AV PAUL VAIL;990000;5037;PACT VAL DE MARNE                     ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245101;1;20090203;20090203;CORMEILLES EN PARISIS 95 96 R;550000;39873;COQUELLE                              ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245102;1;20090203;20090203;CORMEILLES EN PARISIS 95 122 R;364071;37875;CHAPLAIN IMMO                         ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245103;1;20090203;20090203;PONTOISE 95 12-14 RUE SERE DEP;1320000;28766;SERGIC SOC ETUDES REALIS              ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245106;1;20090203;20090203;PONTOISE 95 32 RUE ALEXANDRE P;39438;39874;COUZINE                               ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245108;1;20090203;20100527;PONTOISE 95 30 RUE DE LA ROCHE;86420;15498;CABINET BETTI SA                      ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245072;1;20090203;20090203;PARIS 3 29 RUE DES GRAVILLIERS;116376;25778;HOLDING FINANCIERE RG                 ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245073;1;20090203;20090203;PARIS 3 11 RUE MESLAY CABINET;245716;29010;LAMY                                  ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245074;1;20090203;20090203;PARIS 10 19 RUE SAMPAIX TR 2 C;321586;14118;CABINET PIERRE BERARD TRANS OPERA     ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245075;1;20090203;20090203;PARIS 11 70 RUE JP TIMBAUD BT;110939;17670;ELIMMO GESTION                        ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245093;1;20090203;20090203;CORBEIL ESSONNES 91 12-14 RUE;1527366;39897;SUPERSAC                              ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245095;1;20090203;20090513;MONTFERMEIL 93 2 PL DE LA HALL;693650;39877;SZTERENBARG                           ;;LO                  ;15400402            ;Réhabilitation du parc privé
2009;AE   ;245077;1;20090203;20090203;PARIS 11 70 RUE JP TIMBAUD BT;359347;17670;ELIMMO GESTION                        ;;LO                  ;15400402            ;Réhabilitation du parc privé
